21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using texture size 512 x 256.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.normal' using real height 24 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using texture size 512 x 256.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font.big' using real height 26 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using texture size 512 x 512.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using real height 30 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using texture size 512 x 512.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.replay' using real height 1 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DigGear' using texture size 512 x 512.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'DigGear' using real height 1 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Warning  |  : Property 'SpaceWidth' in font '' is deprecated; remove it to use automatic calculation.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  326
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using texture size 256 x 128.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  787
21:58:06  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using real height 21 pixels.  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_ResourceTrueTypeFont.cpp  |  788
21:58:06  |  Core  |  Warning  |  Widget property 'TextColour' not found [Editor_Track.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'TextColour' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'TextColour' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'TextColour' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'TextAlign' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'FontName' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'Caption' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'TextColour' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'Caption' not found [Editor.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Warning  |  Widget property 'FontName' not found [Editor_Objects.layout]  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_Widget.cpp  |  1208
21:58:06  |  Core  |  Error  |  Texture 'keys.png' not found  |  D:\_\sr\og3\mygui\MyGUIEngine\src\MyGUI_TextureUtility.cpp  |  41
